position_h,position_v,velocity_h,velocity_v,action_h,action_v,value
25,7,0,0,0,1,-17.423279596771355
25,7,0,0,1,0,-15.63255066313785
25,7,0,0,1,1,-13.096405029248016
24,8,1,1,-1,-1,-13.931839588338585
24,8,1,1,-1,0,-12.999983744961245
24,8,1,1,-1,1,-12.735898152520013
24,8,1,1,0,-1,-15.236581170352167
24,8,1,1,0,0,-12.985505285822487
24,8,1,1,0,1,-12.112742744082777
24,8,1,1,1,-1,-9.913526696880977
24,8,1,1,1,0,-14.672049808111158
24,8,1,1,1,1,-13.6381685415333
24,8,0,0,0,1,-18.635474891126194
24,8,0,0,1,0,-19.21306425567768
24,8,0,0,1,1,-15.128300276921284
23,8,1,0,-1,0,-18.18759693614866
23,8,1,0,-1,1,-15.802187613495331
23,8,1,0,0,0,-13.232206647752136
23,8,1,0,0,1,-18.421025931226353
23,8,1,0,1,0,-18.966924081775424
23,8,1,0,1,1,-14.400840224597589
22,9,1,1,-1,-1,-16.24187803990753
22,9,1,1,-1,0,-21.626453245892414
22,9,1,1,-1,1,-21.45342751462225
22,9,1,1,0,-1,-14.220944654024926
22,9,1,1,0,0,-18.740184650510816
22,9,1,1,0,1,-19.718651522690962
22,9,1,1,1,-1,-25.0
22,9,1,1,1,0,-16.391070296497745
22,9,1,1,1,1,-19.39237961996219
21,9,1,0,-1,0,-20.236873224695795
21,9,1,0,-1,1,-17.909281541808898
21,9,1,0,0,0,-19.203897730870175
21,9,1,0,0,1,-20.805548938051462
21,9,1,0,1,0,-14.177640670448467
21,9,1,0,1,1,-19.281530144668835
25,6,0,0,0,1,-14.622638770032838
25,6,0,0,1,0,-9.436340467843834
25,6,0,0,1,1,-14.51510736227386
24,7,1,1,-1,-1,-15.893208586844533
24,7,1,1,-1,0,-19.305755026919822
24,7,1,1,-1,1,-17.69638949177552
24,7,1,1,0,-1,-16.90715410613161
24,7,1,1,0,0,-16.811815507675355
24,7,1,1,0,1,-14.136047305524492
24,7,1,1,1,-1,-9.606281488404626
24,7,1,1,1,0,-15.908441456417929
24,7,1,1,1,1,-12.854703127529955
22,9,2,2,-1,-1,-16.1313784209058
22,9,2,2,-1,0,-11.85676715159678
22,9,2,2,-1,1,-11.497573118515735
22,9,2,2,0,-1,-12.739022136517454
22,9,2,2,0,0,-14.171530795675306
22,9,2,2,0,1,-12.459876600714114
22,9,2,2,1,-1,-12.89897877805216
22,9,2,2,1,0,-16.881995082227004
22,9,2,2,1,1,-15.324956275267294
25,9,0,0,0,1,-12.71130903748268
25,9,0,0,1,0,-18.403472688069083
25,9,0,0,1,1,-12.080449003974516
25,8,0,0,0,1,-13.27366346163047
25,8,0,0,1,0,-15.295960166231415
25,8,0,0,1,1,-16.612131379352913
25,9,0,1,0,-1,-13.652052170245987
25,9,0,1,0,0,-11.622844565208352
25,9,0,1,0,1,-15.386716369281608
25,9,0,1,1,-1,-15.162024192114616
25,9,0,1,1,0,-11.979596090166735
25,9,0,1,1,1,-13.996080350092793
24,9,0,1,0,-1,-14.495258924437307
24,9,0,1,0,0,-12.1035840334511
24,9,0,1,0,1,-15.765479035089582
24,9,0,1,1,-1,-12.580942521367396
24,9,0,1,1,0,-14.766903171388368
24,9,0,1,1,1,-13.138969481942928
25,8,0,1,0,-1,-17.813666856610286
25,8,0,1,0,0,-14.194256787572387
25,8,0,1,0,1,-20.305140406955914
25,8,0,1,1,-1,-20.128733100691186
25,8,0,1,1,0,-19.923081447230306
25,8,0,1,1,1,-20.232136324021717
24,8,1,0,-1,0,-20.066268659360443
24,8,1,0,-1,1,-13.278400979363374
